x,y,t
0.05205000305175782,0.0015000000000000013,0.78
0.06369999694824219,0.004349998474121097,0.79
0.07480000305175782,0.008050003051757806,0.8
0.08640000152587891,0.012499999999999997,0.81
0.09819999694824219,0.01844999694824219,0.82
0.10960000610351564,0.0249000015258789,0.83
0.122,0.03225,0.84
0.13325,0.04080000305175781,0.85
0.14555000305175783,0.05,0.86
0.15755000305175781,0.06035000610351561,0.87
0.16935000610351564,0.07205000305175781,0.88
0.18175,0.08435000610351563,0.89
0.1929499969482422,0.09774999999999999,0.9
0.20535000610351564,0.11125,0.91
0.2170500030517578,0.12730000305175782,0.92
0.22889999389648438,0.14364999389648436,0.93
0.24050000000000002,0.16105000305175782,0.94
0.25210000610351563,0.179,0.95
0.2641000061035156,0.1981499938964844,0.96
0.2742999877929687,0.21660000610351565,0.97
