x,y,t
0.0748499984741211,0.0007469860279364332,0.01234690763512437
0.09219999694824219,0.0024469829761786218,0.02234690763512437
0.11014999389648439,0.005496986027936438,0.03234690763512437
0.12639999389648438,0.00929698907969424,0.04234690763512437
0.14535000610351562,0.014546989079694244,0.052346907635124375
0.1645,0.02059698450205753,0.06234690763512438
0.1823000030517578,0.02774698602793643,0.07234690763512437
0.2004499969482422,0.03549698602793644,0.08234690763512437
0.2183000030517578,0.04469698297617862,0.09234690763512436
0.23635000610351564,0.054546989079694255,0.10234690763512436
0.2533999938964844,0.06584699213145205,0.11234690763512435
0.27245001220703124,0.07764697992442081,0.12234690763512435
0.2911499938964844,0.09054698907969426,0.13234690763512436
0.30879998779296874,0.10474698602793643,0.14234690763512436
0.32704998779296873,0.11919698297617863,0.15234690763512437
0.34510000610351566,0.13529698907969423,0.16234690763512438
0.36135000610351564,0.15104698907969427,0.1723469076351244
0.3803999938964844,0.16979698907969426,0.1823469076351244
0.39879998779296877,0.18884699213145206,0.1923469076351244
0.4083999938964844,0.1935469738209052,0.20234690763512442
