x,y,t
0.0555999984741211,0.0001225,-0.005
0.07315000152587892,0.0001225,0.005
0.08830000305175782,0.002122500000000002,0.015
0.10735000610351564,0.0050724969482421915,0.025
0.12639999389648438,0.0082725015258789,0.035
0.14310000610351564,0.013122499999999997,0.045000000000000005
0.16014999389648438,0.01907249694824219,0.05500000000000001
0.1771999969482422,0.026022501525878903,0.065
0.19580000305175782,0.03297249847412109,0.075
0.2130500030517578,0.042372499999999994,0.08499999999999999
0.23099999999999998,0.0516225,0.09499999999999999
0.24704998779296877,0.0623224969482422,0.10499999999999998
0.26610000610351564,0.0726725030517578,0.11499999999999998
0.2832000122070313,0.08497250610351563,0.12499999999999997
0.3006499938964844,0.09827249389648436,0.13499999999999998
0.3168999938964844,0.11342250305175781,0.145
0.33510000610351565,0.13042250305175782,0.155
0.35454998779296876,0.14477249389648436,0.165
0.37039999389648437,0.1629225030517578,0.17500000000000002
0.3865,0.1822724938964844,0.18500000000000003
0.4057999877929688,0.20052249389648438,0.19500000000000003
0.42279998779296873,0.21997250610351562,0.20500000000000004
